Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
interface,Interface,string,32,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
sn,Serial Number,string,64,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
msg,Log Message,string,4096,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
logdesc,Log Description,string,4096,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
tz,Time zone,string,5,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
eventtime,Event time,uint64,20,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
vd,Virtual Domain Name,string,32,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
devid,Device ID,string,16,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
level,Log Level,string,11,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
subtype,Log Subtype,string,20,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
type,Log Type,string,16,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
logid,Log ID,string,10,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
time,Time,string,8,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
date,Date,string,10,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.6.6
