Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
fgtcount,,uint32,5,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
nodecount,,uint32,5,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
failuredev,,string,80,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
upgradesource,,string,80,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
version,Version,string,64,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
reason,Reason,string,256,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
msg,Log Message,string,4096,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
logdesc,Log Description,string,4096,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
tz,Time zone,string,5,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
eventtime,Event time,uint64,20,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
vd,Virtual Domain Name,string,32,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
devid,Device ID,string,16,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
level,Log Level,string,11,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
subtype,Log Subtype,string,20,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
type,Log Type,string,16,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
logid,Log ID,string,10,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
time,Time,string,8,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
date,Date,string,10,22097 - LOG_ID_AUTOMATIC_UPGRADE_FAILED,22097,LOG_ID_AUTOMATIC_UPGRADE_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.6
