Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
ticket,,string,40,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
msg,Log Message,string,4096,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
logdesc,Log Description,string,4096,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
tz,Time zone,string,5,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
eventtime,Event time,uint64,20,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
vd,Virtual Domain Name,string,32,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
devid,Device ID,string,16,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
level,Log Level,string,11,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
subtype,Log Subtype,string,20,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
type,Log Type,string,16,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
logid,Log ID,string,10,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
time,Time,string,8,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
date,Date,string,10,53321 - LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,53321,LOG_ID_FORTICONVERTER_CONFIG_UPLOADED,Uploaded local config to a FortiConverter ticket,Event,system,Notice,7.6.6
