Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
time,,string,8,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
logid,,string,10,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
type,,string,16,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
subtype,,string,20,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
level,,string,11,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
devid,,string,16,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
vd,,string,32,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
eventtime,,uint64,20,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
tz,,string,5,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
logdesc,,string,4096,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
user,,string,256,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
ui,,string,64,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
msg,,string,4096,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
sn,,string,64,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
name,,string,128,32611 - LOG_ID_FGT_SWITCH_EXPORT_POOL,32611,LOG_ID_FGT_SWITCH_EXPORT_POOL,Export port to pool,Event,switch-controller,Information,7.2.7
