Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
time,Time,string,8,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
logid,Log ID,string,10,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
type,Log Type,string,16,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
subtype,Log Subtype,string,20,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
level,Log Level,string,11,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
devid,Device ID,string,16,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
vd,Virtual Domain Name,string,32,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
eventtime,Event time,uint64,20,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
tz,Time zone,string,5,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
logdesc,Log Description,string,4096,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
action,Policy Action,string,65,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
tunnelid,IPsec VPN tunnel ID,uint32,10,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
tunneltype,IPsec VPN tunnel type,string,64,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
remip,IPsec VPN remote gateway IP address,ip,39,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
user,User name of authenticated user,string,256,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
group,User group Name,string,512,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
msg,Log Message,string,4096,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
reason,Reason,string,256,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
dst_host,Destination Host,string,64,39945 - LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,39945,LOG_ID_EVENT_SSL_VPN_SESSION_EXIT_FAIL,SSL VPN exit fail,Event,vpn,Error,7.2.7
