Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
time,Time,string,8,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
logid,Log ID,string,10,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
type,Log Type,string,16,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
subtype,Log Subtype,string,20,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
level,Log Level,string,11,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
devid,Device ID,string,16,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
vd,Virtual Domain Name,string,32,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
eventtime,Event time,uint64,20,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
tz,Time zone,string,5,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
logdesc,Log Description,string,4096,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
action,Policy Action,string,65,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
msg,Log Message,string,4096,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
sn,Serial Number,string,64,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
ap,Access Point,string,36,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
profile,Profile Name,string,64,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
ip,,ip,39,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
meshmode,Mesh mode,string,19,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
snmeshparent,SN of the mesh parent,string,36,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
reason,Reason,string,256,43623 - LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,43623,LOG_ID_EVENT_WIRELESS_WTP_VLAN_MISSING,VLAN not detected,Event,wireless,Warning,7.2.7
