Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
cert-type,Certification type,string,6,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
name,Display Name of the Connection,string,128,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
ui,User Interface,string,64,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
status,Status,string,23,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
msg,Log Message,string,4096,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
user,User name of authenticated user,string,256,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
action,Policy Action,string,65,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
logdesc,Log Description,string,4096,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
tz,Time zone,string,5,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
eventtime,Event time,uint64,20,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
vd,Virtual Domain Name,string,32,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
devid,Device ID,string,16,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
level,Log Level,string,11,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
subtype,Log Subtype,string,20,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
type,Log Type,string,16,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
logid,Log ID,string,10,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
time,Time,string,8,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
date,Date,string,10,41984 - LOG_ID_EVENT_VPN_CERT_LOAD,41984,LOG_ID_EVENT_VPN_CERT_LOAD,Certificate loaded,Event,vpn,Information,7.4.10
