Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
logdesc,Log Description,string,4096,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
tz,Time zone,string,5,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
eventtime,Event time,uint64,20,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
vd,Virtual Domain Name,string,32,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
devid,Device ID,string,16,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
level,Log Level,string,11,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
subtype,Log Subtype,string,20,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
type,Log Type,string,16,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
logid,Log ID,string,10,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
time,Time,string,8,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
date,Date,string,10,46517 - LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,46517,LOG_ID_INTERNAL_LTE_MODEM_WRONG_PIN,LTE unlock SIM PIN failed.,Event,system,Warning,7.4.10
