Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
time,Time,string,8,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
logid,Log ID,string,10,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
type,Log Type,string,16,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
subtype,Log Subtype,string,20,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
level,Log Level,string,11,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
devid,Device ID,string,16,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
vd,Virtual Domain Name,string,32,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
eventtime,Event time,uint64,20,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
tz,Time zone,string,5,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
logdesc,Log Description,string,4096,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
user,User name of authenticated user,string,256,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
action,Policy Action,string,65,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
status,Status,string,23,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
msg,Log Message,string,4096,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
srcip,Source IP,ip,39,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
server,AD server FQDN or IP,string,64,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
reason,Reason,string,256,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.0
