Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
time,Time,string,8,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
logid,Log ID,string,10,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
type,Log Type,string,16,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
subtype,Log Subtype,string,20,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
level,Log Level,string,11,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
devid,Device ID,string,16,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
vd,Virtual Domain Name,string,32,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
eventtime,Event time,uint64,20,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
tz,Time zone,string,5,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
logdesc,Log Description,string,4096,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
user,User name of authenticated user,string,256,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
ui,User Interface,string,64,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
msg,Log Message,string,4096,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
name,Display Name of the Connection,string,128,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
new_status,New Status,string,512,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
old_status,Original Status,string,512,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
passwd,Password,string,20,32130 - LOG_ID_CHG_USER,32130,LOG_ID_CHG_USER,User changed,Event,system,Notice,7.4.0
