Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,Serial Number,string,64,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
service,Name of Service,string,64,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
msg,Log Message,string,4096,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
status,Status,string,23,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
logdesc,Log Description,string,4096,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
tz,Time zone,string,5,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
eventtime,Event time,uint64,20,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
vd,Virtual Domain Name,string,32,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
devid,Device ID,string,16,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
level,Log Level,string,11,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
subtype,Log Subtype,string,20,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
type,Log Type,string,16,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
logid,Log ID,string,10,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
time,Time,string,8,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
date,Date,string,10,22808 - LOG_ID_LIC_EXPIRE,22808,LOG_ID_LIC_EXPIRE,VM license expired,Event,system,Critical,7.6.1
