Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,,string,64,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
name,,string,128,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
msg,,string,4096,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
ui,,string,64,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
user,,string,256,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
logdesc,,string,4096,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
tz,,string,5,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
eventtime,,uint64,20,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
vd,,string,32,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
devid,,string,16,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
level,,string,11,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
subtype,,string,20,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
type,,string,16,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
logid,,string,10,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
time,,string,8,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
date,,string,10,22877 - LOG_ID_FLTUND_CONN_ONLINE,22877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,7.6.5
