Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
modem,,string,3,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
state,State,string,64,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
msg,Log Message,string,4096,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
logdesc,Log Description,string,4096,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
tz,Time zone,string,5,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
eventtime,Event time,uint64,20,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
vd,Virtual Domain Name,string,32,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
devid,Device ID,string,16,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
level,Log Level,string,11,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
subtype,Log Subtype,string,20,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
type,Log Type,string,16,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
logid,Log ID,string,10,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
time,Time,string,8,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
date,Date,string,10,46709 - LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,46709,LOG_ID_INTERNAL_5G_MODEM_SIM_STATE,5G modem active sim card state changed,Event,system,Information,7.6.5
