Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
reason,Reason,string,256,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
msg,Log Message,string,4096,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
status,Status,string,23,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
action,Policy Action,string,65,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
logdesc,Log Description,string,4096,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
tz,Time zone,string,5,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
eventtime,Event time,uint64,20,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
vd,Virtual Domain Name,string,32,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
devid,Device ID,string,16,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
level,Log Level,string,11,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
subtype,Log Subtype,string,20,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
type,Log Type,string,16,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
logid,Log ID,string,10,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
time,Time,string,8,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
date,Date,string,10,22902 - LOG_ID_FAZ_DISCON,22902,LOG_ID_FAZ_DISCON,FortiAnalyzer connection down,Event,system,Notice,7.6.5
