Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
remotewtptime,The time of AP when client trying to connect,string,32,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
radioid,The operating radio ID,uint8,3,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
trafficmode,,string,8,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
vap,Virtual Access Point,string,36,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
ap,Access Point,string,36,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
sn,Serial Number,string,64,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
stamac,The MAC address of wifi station,string,17,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
encryption,The encryption type of detected rogue AP,string,12,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
security,Security,string,40,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
channel,Channel,uint8,3,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
bssid,Basic service set ID,string,17,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
ssid,WiFi Service Set ID,string,33,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
msg,Log Message,string,4096,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
action,Policy Action,string,65,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
logdesc,Log Description,string,4096,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
tz,Time zone,string,5,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
eventtime,Event time,uint64,20,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
vd,Virtual Domain Name,string,32,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
devid,Device ID,string,16,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
level,Log Level,string,11,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
subtype,Log Subtype,string,20,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
type,Log Type,string,16,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
logid,Log ID,string,10,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
time,Time,string,8,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
date,Date,string,10,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.6.5
