Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
authserver,Remote Authentication server,string,64,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
srcip,Source IP,ip,39,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
msg,Log Message,string,4096,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
status,Status,string,23,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
action,Policy Action,string,65,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
user,User name of authenticated user,string,256,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
logdesc,Log Description,string,4096,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
tz,Time zone,string,5,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
eventtime,Event time,uint64,20,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
vd,Virtual Domain Name,string,32,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
devid,Device ID,string,16,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
level,Log Level,string,11,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
subtype,Log Subtype,string,20,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
type,Log Type,string,16,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
logid,Log ID,string,10,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
time,Time,string,8,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
date,Date,string,10,43040 - LOG_ID_EVENT_AUTH_LOGOUT,43040,LOG_ID_EVENT_AUTH_LOGOUT,Authentication logout,Event,user,Notice,7.4.6
