Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
time,Time,string,8,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
logid,Log ID,string,10,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
type,Log Type,string,16,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
subtype,Log Subtype,string,20,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
level,Log Level,string,11,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
devid,Device ID,string,16,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
vd,Virtual Domain Name,string,32,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
eventtime,Event time,uint64,20,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
tz,Time zone,string,5,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
logdesc,Log Description,string,4096,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
action,Policy Action,string,65,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
msg,Log Message,string,4096,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
status,Status,string,23,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
reason,Reason,string,256,40037 - LOG_ID_PPTPD_SVR_DISCON,40037,LOG_ID_PPTPD_SVR_DISCON,PPTP daemon disconnected,Event,vpn,Information,7.2.3
