Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,,string,64,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
name,,string,128,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
msg,,string,4096,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
ui,,string,64,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
user,,string,256,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
logdesc,,string,4096,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
tz,,string,5,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
eventtime,,uint64,20,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
vd,,string,32,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
devid,,string,16,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
level,,string,11,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
subtype,,string,20,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
type,,string,16,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
logid,,string,10,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
time,,string,8,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
date,,string,10,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.6.4
