Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
time,Time,string,8,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
logid,Log ID,string,10,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
type,Log Type,string,16,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
subtype,Log Subtype,string,20,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
level,Log Level,string,11,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
devid,Device ID,string,16,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
vd,Virtual Domain Name,string,32,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
eventtime,Event time,uint64,20,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
tz,Time zone,string,5,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
logdesc,Log Description,string,4096,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
msg,Log Message,string,4096,53316 - LOG_ID_LPM_INFO,53316,LOG_ID_LPM_INFO,LPM INFO MSG,Event,system,Notice,7.2.6
