Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
time,Time,string,8,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
logid,Log ID,string,10,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
type,Log Type,string,16,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
subtype,Log Subtype,string,20,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
level,Log Level,string,11,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
devid,Device ID,string,16,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
vd,Virtual Domain Name,string,32,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
eventtime,Event time,uint64,20,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
tz,Time zone,string,5,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
logdesc,Log Description,string,4096,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
user,User name of authenticated user,string,256,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
ui,User Interface,string,64,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
action,Policy Action,string,65,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
msg,Log Message,string,4096,32238 - LOG_ID_BACKUP_DISK_LOG_FAIL,32238,LOG_ID_BACKUP_DISK_LOG_FAIL,Disk logs failed to back up,Event,system,Notice,7.2.6
