Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
time,Time,string,8,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
logid,Log ID,string,10,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
type,Log Type,string,16,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
subtype,Log Subtype,string,20,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
level,Log Level,string,11,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
devid,Device ID,string,16,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
vd,Virtual Domain Name,string,32,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
eventtime,Event time,uint64,20,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
tz,Time zone,string,5,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
logdesc,Log Description,string,4096,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
action,Policy Action,string,65,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
msg,Log Message,string,4096,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
daemon,Daemon Name,string,32,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
pid,Process ID,uint32,10,20203 - LOG_ID_DAEMON_SHUTDOWN,20203,LOG_ID_DAEMON_SHUTDOWN,Daemon shutdown,Event,system,Information,7.2.6
